Camera,Species,Events,Effort
C1T2P1,Bas_ast,0,89
C1T2P1,Can_lat,0,89
C1T2P1,Nas_nar,0,89
C1T2P1,Syl_flo,6,89
C1T2P1,Con_leu,0,89
C1T2P1,Lin_ruf,0,89
C1T2P1,Pro_lot,0,89
C1T2P1,Odo_vir,7,89
C1T2P1,Pec_taj,0,89
C1T2P1,Spi_put,0,89
C1T2P1,Mep_mac,0,89
C1T2P1,Uro_cin,10,89
C1T2P1,Can_fam,0,89
C1T2P1,Cap_aeg,0,89
C1T2P1,Fel_cat,0,89
C1T2P21,Bas_ast,0,89
C1T2P21,Can_lat,1,89
C1T2P21,Nas_nar,0,89
C1T2P21,Syl_flo,20,89
C1T2P21,Con_leu,1,89
C1T2P21,Lin_ruf,1,89
C1T2P21,Pro_lot,0,89
C1T2P21,Odo_vir,10,89
C1T2P21,Pec_taj,5,89
C1T2P21,Spi_put,0,89
C1T2P21,Mep_mac,0,89
C1T2P21,Uro_cin,2,89
C1T2P21,Can_fam,0,89
C1T2P21,Cap_aeg,0,89
C1T2P21,Fel_cat,0,89
C1T6P1,Bas_ast,0,88
C1T6P1,Can_lat,0,88
C1T6P1,Nas_nar,0,88
C1T6P1,Syl_flo,12,88
C1T6P1,Con_leu,2,88
C1T6P1,Lin_ruf,0,88
C1T6P1,Pro_lot,0,88
C1T6P1,Odo_vir,7,88
C1T6P1,Pec_taj,1,88
C1T6P1,Spi_put,0,88
C1T6P1,Mep_mac,2,88
C1T6P1,Uro_cin,8,88
C1T6P1,Can_fam,0,88
C1T6P1,Cap_aeg,0,88
C1T6P1,Fel_cat,0,88
C3T3P21,Bas_ast,0,90
C3T3P21,Can_lat,1,90
C3T3P21,Nas_nar,0,90
C3T3P21,Syl_flo,12,90
C3T3P21,Con_leu,3,90
C3T3P21,Lin_ruf,4,90
C3T3P21,Pro_lot,0,90
C3T3P21,Odo_vir,8,90
C3T3P21,Pec_taj,3,90
C3T3P21,Spi_put,1,90
C3T3P21,Mep_mac,0,90
C3T3P21,Uro_cin,1,90
C3T3P21,Can_fam,0,90
C3T3P21,Cap_aeg,0,90
C3T3P21,Fel_cat,0,90
C4T2P1,Bas_ast,0,89
C4T2P1,Can_lat,0,89
C4T2P1,Nas_nar,0,89
C4T2P1,Syl_flo,3,89
C4T2P1,Con_leu,1,89
C4T2P1,Lin_ruf,0,89
C4T2P1,Pro_lot,0,89
C4T2P1,Odo_vir,0,89
C4T2P1,Pec_taj,0,89
C4T2P1,Spi_put,1,89
C4T2P1,Mep_mac,1,89
C4T2P1,Uro_cin,0,89
C4T2P1,Can_fam,0,89
C4T2P1,Cap_aeg,0,89
C4T2P1,Fel_cat,0,89
C4T2P21,Bas_ast,0,93
C4T2P21,Can_lat,0,93
C4T2P21,Nas_nar,0,93
C4T2P21,Syl_flo,0,93
C4T2P21,Con_leu,0,93
C4T2P21,Lin_ruf,0,93
C4T2P21,Pro_lot,0,93
C4T2P21,Odo_vir,0,93
C4T2P21,Pec_taj,0,93
C4T2P21,Spi_put,0,93
C4T2P21,Mep_mac,0,93
C4T2P21,Uro_cin,1,93
C4T2P21,Can_fam,0,93
C4T2P21,Cap_aeg,0,93
C4T2P21,Fel_cat,0,93
CB07,Bas_ast,0,35
CB07,Can_lat,0,35
CB07,Nas_nar,0,35
CB07,Syl_flo,0,35
CB07,Con_leu,4,35
CB07,Lin_ruf,1,35
CB07,Pro_lot,0,35
CB07,Odo_vir,17,35
CB07,Pec_taj,1,35
CB07,Spi_put,1,35
CB07,Mep_mac,0,35
CB07,Uro_cin,1,35
CB07,Can_fam,0,35
CB07,Cap_aeg,1,35
CB07,Fel_cat,0,35
CB14,Bas_ast,0,62
CB14,Can_lat,1,62
CB14,Nas_nar,0,62
CB14,Syl_flo,23,62
CB14,Con_leu,5,62
CB14,Lin_ruf,2,62
CB14,Pro_lot,0,62
CB14,Odo_vir,9,62
CB14,Pec_taj,7,62
CB14,Spi_put,0,62
CB14,Mep_mac,0,62
CB14,Uro_cin,13,62
CB14,Can_fam,0,62
CB14,Cap_aeg,0,62
CB14,Fel_cat,0,62
CB17,Bas_ast,1,90
CB17,Can_lat,0,90
CB17,Nas_nar,0,90
CB17,Syl_flo,5,90
CB17,Con_leu,8,90
CB17,Lin_ruf,7,90
CB17,Pro_lot,1,90
CB17,Odo_vir,17,90
CB17,Pec_taj,0,90
CB17,Spi_put,0,90
CB17,Mep_mac,0,90
CB17,Uro_cin,7,90
CB17,Can_fam,0,90
CB17,Cap_aeg,1,90
CB17,Fel_cat,0,90
CB18,Bas_ast,0,93
CB18,Can_lat,0,93
CB18,Nas_nar,0,93
CB18,Syl_flo,0,93
CB18,Con_leu,0,93
CB18,Lin_ruf,1,93
CB18,Pro_lot,0,93
CB18,Odo_vir,6,93
CB18,Pec_taj,1,93
CB18,Spi_put,0,93
CB18,Mep_mac,0,93
CB18,Uro_cin,0,93
CB18,Can_fam,0,93
CB18,Cap_aeg,1,93
CB18,Fel_cat,0,93
CB18P14,Bas_ast,0,90
CB18P14,Can_lat,0,90
CB18P14,Nas_nar,0,90
CB18P14,Syl_flo,7,90
CB18P14,Con_leu,1,90
CB18P14,Lin_ruf,0,90
CB18P14,Pro_lot,0,90
CB18P14,Odo_vir,4,90
CB18P14,Pec_taj,1,90
CB18P14,Spi_put,0,90
CB18P14,Mep_mac,0,90
CB18P14,Uro_cin,0,90
CB18P14,Can_fam,0,90
CB18P14,Cap_aeg,7,90
CB18P14,Fel_cat,0,90
CB18P15,Bas_ast,0,88
CB18P15,Can_lat,0,88
CB18P15,Nas_nar,0,88
CB18P15,Syl_flo,15,88
CB18P15,Con_leu,3,88
CB18P15,Lin_ruf,1,88
CB18P15,Pro_lot,0,88
CB18P15,Odo_vir,6,88
CB18P15,Pec_taj,0,88
CB18P15,Spi_put,0,88
CB18P15,Mep_mac,0,88
CB18P15,Uro_cin,1,88
CB18P15,Can_fam,0,88
CB18P15,Cap_aeg,0,88
CB18P15,Fel_cat,0,88
CB18P28,Bas_ast,3,88
CB18P28,Can_lat,0,88
CB18P28,Nas_nar,0,88
CB18P28,Syl_flo,10,88
CB18P28,Con_leu,2,88
CB18P28,Lin_ruf,0,88
CB18P28,Pro_lot,0,88
CB18P28,Odo_vir,6,88
CB18P28,Pec_taj,1,88
CB18P28,Spi_put,0,88
CB18P28,Mep_mac,0,88
CB18P28,Uro_cin,7,88
CB18P28,Can_fam,0,88
CB18P28,Cap_aeg,0,88
CB18P28,Fel_cat,0,88
CB18P30,Bas_ast,0,87
CB18P30,Can_lat,1,87
CB18P30,Nas_nar,0,87
CB18P30,Syl_flo,1,87
CB18P30,Con_leu,0,87
CB18P30,Lin_ruf,0,87
CB18P30,Pro_lot,0,87
CB18P30,Odo_vir,1,87
CB18P30,Pec_taj,0,87
CB18P30,Spi_put,0,87
CB18P30,Mep_mac,0,87
CB18P30,Uro_cin,1,87
CB18P30,Can_fam,0,87
CB18P30,Cap_aeg,3,87
CB18P30,Fel_cat,0,87
CB18P32,Bas_ast,0,30
CB18P32,Can_lat,3,30
CB18P32,Nas_nar,1,30
CB18P32,Syl_flo,18,30
CB18P32,Con_leu,2,30
CB18P32,Lin_ruf,3,30
CB18P32,Pro_lot,2,30
CB18P32,Odo_vir,4,30
CB18P32,Pec_taj,0,30
CB18P32,Spi_put,0,30
CB18P32,Mep_mac,0,30
CB18P32,Uro_cin,9,30
CB18P32,Can_fam,6,30
CB18P32,Cap_aeg,20,30
CB18P32,Fel_cat,16,30
CB19,Bas_ast,0,87
CB19,Can_lat,0,87
CB19,Nas_nar,0,87
CB19,Syl_flo,0,87
CB19,Con_leu,2,87
CB19,Lin_ruf,0,87
CB19,Pro_lot,4,87
CB19,Odo_vir,0,87
CB19,Pec_taj,0,87
CB19,Spi_put,0,87
CB19,Mep_mac,0,87
CB19,Uro_cin,1,87
CB19,Can_fam,0,87
CB19,Cap_aeg,0,87
CB19,Fel_cat,0,87
CB19CH1,Bas_ast,0,92
CB19CH1,Can_lat,0,92
CB19CH1,Nas_nar,0,92
CB19CH1,Syl_flo,1,92
CB19CH1,Con_leu,0,92
CB19CH1,Lin_ruf,0,92
CB19CH1,Pro_lot,0,92
CB19CH1,Odo_vir,0,92
CB19CH1,Pec_taj,0,92
CB19CH1,Spi_put,0,92
CB19CH1,Mep_mac,0,92
CB19CH1,Uro_cin,0,92
CB19CH1,Can_fam,0,92
CB19CH1,Cap_aeg,1,92
CB19CH1,Fel_cat,1,92
CB19CH3,Bas_ast,0,16
CB19CH3,Can_lat,0,16
CB19CH3,Nas_nar,0,16
CB19CH3,Syl_flo,0,16
CB19CH3,Con_leu,0,16
CB19CH3,Lin_ruf,0,16
CB19CH3,Pro_lot,0,16
CB19CH3,Odo_vir,1,16
CB19CH3,Pec_taj,0,16
CB19CH3,Spi_put,0,16
CB19CH3,Mep_mac,0,16
CB19CH3,Uro_cin,0,16
CB19CH3,Can_fam,0,16
CB19CH3,Cap_aeg,0,16
CB19CH3,Fel_cat,0,16
CB19CH4,Bas_ast,0,61
CB19CH4,Can_lat,0,61
CB19CH4,Nas_nar,1,61
CB19CH4,Syl_flo,0,61
CB19CH4,Con_leu,0,61
CB19CH4,Lin_ruf,0,61
CB19CH4,Pro_lot,0,61
CB19CH4,Odo_vir,2,61
CB19CH4,Pec_taj,1,61
CB19CH4,Spi_put,0,61
CB19CH4,Mep_mac,0,61
CB19CH4,Uro_cin,0,61
CB19CH4,Can_fam,0,61
CB19CH4,Cap_aeg,4,61
CB19CH4,Fel_cat,0,61
CB19CH5,Bas_ast,0,93
CB19CH5,Can_lat,0,93
CB19CH5,Nas_nar,0,93
CB19CH5,Syl_flo,0,93
CB19CH5,Con_leu,0,93
CB19CH5,Lin_ruf,1,93
CB19CH5,Pro_lot,0,93
CB19CH5,Odo_vir,4,93
CB19CH5,Pec_taj,0,93
CB19CH5,Spi_put,0,93
CB19CH5,Mep_mac,0,93
CB19CH5,Uro_cin,0,93
CB19CH5,Can_fam,0,93
CB19CH5,Cap_aeg,1,93
CB19CH5,Fel_cat,0,93
CB19CH6,Bas_ast,0,73
CB19CH6,Can_lat,2,73
CB19CH6,Nas_nar,0,73
CB19CH6,Syl_flo,0,73
CB19CH6,Con_leu,0,73
CB19CH6,Lin_ruf,0,73
CB19CH6,Pro_lot,0,73
CB19CH6,Odo_vir,3,73
CB19CH6,Pec_taj,0,73
CB19CH6,Spi_put,0,73
CB19CH6,Mep_mac,0,73
CB19CH6,Uro_cin,0,73
CB19CH6,Can_fam,0,73
CB19CH6,Cap_aeg,1,73
CB19CH6,Fel_cat,0,73
CB19CH7,Bas_ast,0,66
CB19CH7,Can_lat,0,66
CB19CH7,Nas_nar,0,66
CB19CH7,Syl_flo,18,66
CB19CH7,Con_leu,0,66
CB19CH7,Lin_ruf,3,66
CB19CH7,Pro_lot,0,66
CB19CH7,Odo_vir,6,66
CB19CH7,Pec_taj,0,66
CB19CH7,Spi_put,0,66
CB19CH7,Mep_mac,0,66
CB19CH7,Uro_cin,0,66
CB19CH7,Can_fam,0,66
CB19CH7,Cap_aeg,8,66
CB19CH7,Fel_cat,0,66
CB19P2,Bas_ast,0,93
CB19P2,Can_lat,0,93
CB19P2,Nas_nar,0,93
CB19P2,Syl_flo,8,93
CB19P2,Con_leu,0,93
CB19P2,Lin_ruf,0,93
CB19P2,Pro_lot,0,93
CB19P2,Odo_vir,0,93
CB19P2,Pec_taj,0,93
CB19P2,Spi_put,0,93
CB19P2,Mep_mac,2,93
CB19P2,Uro_cin,1,93
CB19P2,Can_fam,0,93
CB19P2,Cap_aeg,3,93
CB19P2,Fel_cat,0,93
CB21,Bas_ast,0,91
CB21,Can_lat,0,91
CB21,Nas_nar,1,91
CB21,Syl_flo,3,91
CB21,Con_leu,0,91
CB21,Lin_ruf,2,91
CB21,Pro_lot,0,91
CB21,Odo_vir,24,91
CB21,Pec_taj,0,91
CB21,Spi_put,0,91
CB21,Mep_mac,0,91
CB21,Uro_cin,5,91
CB21,Can_fam,0,91
CB21,Cap_aeg,0,91
CB21,Fel_cat,0,91